consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico,sentimento,estado,gargalo,texto_limpo,termos_relevantes,erro_classificacao
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Programa Melhor em Casa leva atendimento especializado ao ...,"Em geral, o serviço é direcionado a pessoas com condições ... condições de Serviço de Atenção Domiciliar (SAD), o Programa Melhor em Casa em nosso município.",https://www.instagram.com/p/DUIvdTKkump/,Instagram,"['Atenção Domiciliar', 'Melhor em Casa']",10,,positivo,NA,nenhum,direcionado pessoas condicoes condicoes,"condicoes, pessoas",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",PROGRAMA MELHOR EM CASA: CUIDADO DOMICILIAR ...,Este estudo procurou avaliar a efetividade do cuidado domiciliar a idosos no âmbito do Programa Melhor em Casa ... Atenção Domiciliar (SAD) e do Programa Melhor ...,https://revistaft.com.br/programa-melhor-em-casa-cuidado-domiciliar-prestado-a-idosos/,RevistaFT,"['Melhor em Casa', 'Atenção Domiciliar', 'Melhor']",4,,positivo,NA,nenhum,cuidado este estudo procurou avaliar efetividade cuidado idosos ambito,"cuidado, este, ambito, estudo",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",MANUAL DE ATENÇÃO DOMICILIAR,"sitários, Programa Melhor em Casa ... NÚCLEO NACIONAL DAS EMPRESAS DE SERVIÇOS DE ATENÇÃO DOMICILIAR. MANUAL DE ATENÇÃO DOMICILIAR. Critérios técnicos para ...",http://www.anahp.com.br/wp-content/uploads/2022/12/Manual_de_Atendimento_Domiciliar_versaofinal.pdf,Anahp - Associação Nacional de Hospitais Privados,"['Melhor em Casa', 'ATENÇÃO DOMICILIAR', 'ATENÇÃO DOMICILIAR', 'Critérios']",5,PA,neutro,PA,nenhum,manual sitarios nucleo nacional empresas manual criterios tecnicos,"manual, nacional, tecnicos, criterios",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Desafios e Perspectivas na Atenção Domiciliar,PROGRAMA MELHOR EM CASA: DESAFIOS E PERSPECTIVAS NA ATENÇÃO DOMICILIAR - REVISÃO DE LITERATURA. BETTER AT HOME PROGRAM: CHALLENGES AND PERSPECTIVES IN HOME ...,https://revistasaudecoletiva.com.br/index.php/saudecoletiva/article/view/3741/5099,Saúde Coletiva (Barueri),"['MELHOR EM CASA', 'ATENÇÃO DOMICILIAR']",6,,neutro,NA,nenhum,desafios perspectivas desafios perspectivas revisao literatura better program challenges and perspectives,"perspectivas, desafios perspectivas, desafios, revisao",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",CAB/SEABVES Nº1/2023 Serviço de Atenção Domiciliar,Serviço de Atenção Domiciliar - Programa Melhor em Casa. Atualizada em 20/06/2024 – 4º versão. I. INTRODUÇÃO. O ciclo completo da Assistência ...,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/instrucao_normativa_melhor_em_casa_jun24.pdf,Prefeitura de São Paulo,20 de jun. de 2024,7,SP,neutro,SP,nenhum,cab seabves atualizada versao introducao ciclo completo assistencia,"introducao, assistencia",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",caracterização dos serviços de atenção domiciliar,Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ... Satisfação do usuário da Atenção Primária no Distrito. Federal: a importância do ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?format=pdf&lang=pt,SciELO,"['atenção domiciliar', 'Melhor em Casa']",8,,neutro,NA,nenhum,caracterizacao organizacao rev gaucha satisfacao usuario primaria distrito importancia,"caracterizacao, caracterizacao organizacao, usuario, satisfacao usuario",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",FLUXO PROGRAMA MELHOR EM CASA BVAPS,O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: ... critérios de inclusão no programa: Residir no município de Porto ...,https://prefeitura.poa.br/sites/default/files/usu_doc/hotsites/sms/bvaps-biblioteca-virtual-de-atencao-primaria-saude/FLUXO%20PROGRAMA%20MELHOR%20EM%20CASA%20BVAPS.pdf,Prefeitura de Porto Alegre,"['Melhor em Casa', 'atenção domiciliar', 'critérios']",10,,neutro,NA,nenhum,fluxo bvaps criterios inclusao residir porto,"inclusao, fluxo, criterios",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Melhor em Casa: atendimento médico especializado é ...,"Instituído pelo governo federal em 2011, o Serviço de Atenção Domiciliar ... critérios de elegibilidade para o Melhor em Casa. Quando nos ...",https://www.saocristovao.se.gov.br/noticia/melhor-em-casa-atendimento-medico-especializado-e-realizado-na-casa-dos-pacientes-em-sao-cristovao,Prefeitura Municipal de São Cristóvão - SE,17 de dez. de 2020,3,PA,positivo,PA,pessoal,medico instituido criterios elegibilidade quando,"criterios elegibilidade, elegibilidade, quando, criterios",
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Atenção Domiciliar — Ministério da Saúde,... Atenção Domiciliar (SAD) – Melhor em Casa. A Atenção Domiciliar proporciona ao paciente um cuidado ligado diretamente aos aspectos referentes à estrutura ...,https://www.gov.br/saude/pt-br/composicao/saes/dahu/atencao-domiciliar,GOV.BR,"['Atenção Domiciliar', 'Melhor em Casa', 'Atenção Domiciliar']",4,,positivo,NA,nenhum,proporciona cuidado ligado diretamente aspectos referentes estrutura,"proporciona, cuidado",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Programa Melhor em Casa realiza mais de 2 mil ...,Programa Melhor em Casa: Atenção domiciliar é apresentada a futuros médicos em Santarém. Saúde · Prefeitura de Santarém inicia força-tarefa ...,https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-realiza-mais-de-2-mil-atendimentos-em-5-meses-xtb3ql,Prefeitura Municipal de Santarém,3 de mai. de 2024,6,PA,neutro,PA,pessoal,realiza mil apresentada futuros medicos santarem santarem inicia forca tarefa,"santarem, apresentada, futuros, inicia",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura","Conheça o “Melhor em Casa”, o Programa de Assistência ...","Disponível no Sistema Único de Saúde (SUS), o programa Melhor em Casa integra os Serviços de Atenção Domiciliar e é caracterizado pelo ...",https://www.ibes.med.br/conheca-o-melhor-em-casa-o-programa-de-assistencia-domiciliar-do-sus/,Grupo IBES,25 de mar. de 2024,8,,neutro,NA,nenhum,assistencia disponivel integra caracterizado,"disponivel, assistencia",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",O que é o Programa de Atenção Domiciliar?,"O que é o Programa de Atenção Domiciliar? É um conjunto de serviços prestado de forma continuada, desenvolvido fora do ambiente hospitalar e adequado às ...",https://centralsaudecaixa.com.br/faq/o-que-e-programa-de-atencao-domiciliar/,Central de Atendimento do Saúde CAIXA.,['Atenção Domiciliar'],9,,neutro,NA,nenhum,conjunto prestado continuada desenvolvido fora ambiente hospitalar adequado,"desenvolvido, conjunto, prestado, hospitalar",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",O programa Melhor em Casa oferece atendimento médico ...,O programa Melhor em Casa oferece atendimento médico domiciliar às ... cobertura do programa. Quer saber mais? Só dar play no vídeo. <3 ...,https://www.facebook.com/prefeituradenovaiguacu/videos/nova-igua%C3%A7u-amplia-programa-de-atendimento-domiciliar/2176253182463311/,Facebook · Prefeitura de Nova Iguaçu,,10,,positivo,NA,pessoal,medico medico cobertura quer saber dar play video,"medico, saber, video, medico medico",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",​Programa Melhor em Casa é contemplado...,"O Programa Melhor em Casa é um serviço complementar na atenção básica, especializada e de serviços de urgência, possibilitando o acompanhamento ...",https://www.betim.mg.gov.br/portal/noticias/0/3/13549/programa-melhor-em-casa-e-contemplado-com-consultorio-odontologico-portatil,Prefeitura Municipal de Betim - MG,21 de nov. de 2024,1,MG,negativo,MG,nenhum,contemplado complementar basica urgencia possibilitando acompanhamento,"basica, acompanhamento, urgencia",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Prefeitura inaugura nova sede do Programa Melhor em Casa,Prefeitura inaugura nova sede do Programa Melhor em Casa ... cobertura de 100% de atenção domiciliar aos pacientes e familiares de Uberlândia.,https://www.uberlandia.mg.gov.br/2019/08/13/prefeitura-inaugura-nova-sede-do-programa-melhor-em-casa/,Portal da Prefeitura de Uberlândia,13 de ago. de 2019,3,MG,neutro,MG,escala,inaugura nova sede inaugura nova sede cobertura familiares uberlandia,"nova, sede, cobertura",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",CONTRIBUIÇÕES DO PROGRAMA “MELHOR EM CASA ...,"A partir deste estudo, constatou-se que o programa melhor em casa foi uma importante iniciativa para o desenvolvimento da atenção domiciliar no ...",https://revistaft.com.br/contribuicoes-do-programa-melhor-em-casa-para-o-fortalecimento-da-atencao-primaria-a-saude/,RevistaFT,11 de out. de 2023,4,PA,neutro,PA,nenhum,contribuicoes partir deste estudo constatou importante iniciativa desenvolvimento,"deste, importante, partir, iniciativa",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",🏠💙 Programa Melhor em Casa Atendimento ...,"1º Fórum Maranhense do Programa Melhor em casa. Um encontro dedicado ao fortalecimento da atenção domiciliar no Maranhão, promovendo a troca ...",https://www.instagram.com/p/DVd4AImDsZW/,Instagram · ananindeuapma,"['Melhor em casa', 'atenção domiciliar']",6,,neutro,NA,nenhum,forum maranhense encontro dedicado fortalecimento maranhao promovendo troca,"fortalecimento, dedicado, maranhense, forum maranhense",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Programa “Melhor em Casa” inicia leva atendimento a ...,"Ampliado no final do ano passado, com a inclusão de mais uma equipe de atendimento, o Programa de Atenção Domiciliar Melhor em Casa ... cobertura ...",https://www.saude.am.gov.br/programa-melhor-em-casa-inicia-leva-atendimento-a-mais-de-500-pacientes/,SES-AM,27 de fev. de 2015,8,AM,neutro,AM,pessoal,inicia ampliado final ano passado inclusao equipe cobertura,"inclusao, inicia, final, ano",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",O programa Melhor em Casa oferece atendimento médico ...,"O programa Melhor em Casa oferece atendimento médico domiciliar às pessoas que apresentam dificuldades de locomoção, definitiva ou temporária, ...",https://www.facebook.com/prefeituradenovaiguacu/posts/o-programa-melhor-em-casa-oferece-atendimento-m%C3%A9dico-domiciliar-%C3%A0s-pessoas-que-a/2270750166349418/,Facebook · Prefeitura de Nova Iguaçu,['Melhor em Casa'],10,,positivo,NA,pessoal,medico medico pessoas apresentam dificuldades locomocao definitiva temporaria,"medico, medico medico, pessoas apresentam, apresentam",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Você sabia que o Brasil é um dos países com maior cobertura ...,"Você sabia que o Brasil é um dos países com maior cobertura pública em atenção domiciliar do mundo? O Programa Melhor em Casa, do Ministério da Saúde, já está ...",https://www.instagram.com/p/DQ9e-GIEzCg/,Instagram,"['cobertura', 'atenção domiciliar', 'Melhor em Casa']",1,,neutro,NA,escala,voce sabia paises maior cobertura voce sabia paises maior cobertura publica mundo,"sabia, voce sabia, voce, maior",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Vídeo: Programa 'Melhor em casa' tem equipe ampliada e garante ...,Programa 'Melhor em casa' tem equipe ampliada e garante cobertura de atendimentos. Expandir ou colapsar descrição. Confira na reportagem.,https://g1.globo.com/pa/santarem-regiao/videos-bom-dia-tapajos/video/programa-melhor-em-casa-tem-equipe-ampliada-e-garante-cobertura-de-atendimentos-12397811.ghtml,G1,"['Melhor em casa', 'cobertura']",2,PA,positivo,PA,pessoal,video equipe ampliada garante equipe ampliada garante cobertura atendimentos expandir colapsar descricao confira reportagem,"garante, descricao, cobertura atendimentos, video",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Programa Melhor em Casa tem visitas dinamizadas com ...,"Os Serviços de Atenção Domiciliar, SAD, do Programa Melhor em Casa tem suas ações dinamizadas com aquisição de mais um transporte, dentro ...",https://imperatriz.ma.gov.br/noticias/saude/programa-melhor-em-casa-tem-visitas-dinamizadas-com-aquisicao-de-mais-um-transporte.html,Prefeitura Municipal de Imperatriz,15 de ago. de 2019,3,MA,neutro,MA,frota,visitas dinamizadas acoes dinamizadas aquisicao transporte dentro,"dentro, acoes, visitas",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Saúde lança plano de assistência domiciliar,"O governo lançou ontem o Melhor em Casa, um programa que prevê a assistência médica domiciliar para pacientes do Sistema Único de Saúde. A ...",https://www.cofen.gov.br/saude-lana-plano-de-assistencia-domiciliar/,Cofen,9 de nov. de 2011,6,PA,neutro,PA,nenhum,lanca plano assistencia lancou ontem preve assistencia medica,"assistencia, lancou, assistencia medica, plano",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Araras é contemplada com programa “Melhor em Casa”,"Após a reestruturação, o serviço de atenção domiciliar oferecerá cobertura ... Melhor em Casa”, que vai oferecer, além do atendimento ...",https://araras.sp.gov.br/noticias/13150,Prefeitura de Araras,14 de abr. de 2014,7,SP,neutro,SP,escala,araras contemplada apos reestruturacao oferecera cobertura vai oferecer,"apos, oferecer, vai, cobertura",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Rio Grande do Sul fortalece atenção domiciliar com visitas ...,"Na segunda-feira (1/12), representantes da SES e do Programa Melhor em Casa, do Ministério da Saúde (MS), estiveram em Sapucaia do Sul para ...",https://estado.rs.gov.br/rio-grande-do-sul-fortalece-atencao-domiciliar-com-visitas-tecnicas-e-evento-estadual-de-capacitacao,Portal do Estado do Rio Grande do Sul,2 de dez. de 2025,9,PA,neutro,PA,escala,rio grande sul fortalece visitas segunda feira representantes ses estiveram sapucaia sul,"segunda, segunda feira, fortalece, ses",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Serviço de Atenção Domiciliar oferece cuidados…,"Com cobertura em toda ... Em Maceió, esse atendimento é prestado pelo Programa Melhor em Casa – executado pelo Serviço de Atenção Domiciliar ...",https://maceio.al.gov.br/noticias/sms/servico-de-atencao-domiciliar-oferece-cuidados-especiais-a-pacientes-apos-alta-hospitalar,Prefeitura de Maceió,29 de jan. de 2022,2,AL,neutro,AL,escala,cuidados cobertura toda maceio prestado executado,"prestado, toda, cobertura, cuidados",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",NOTA TÉCNICA Home Care - APS - FINAL.docx,"A consolidação do Programa Melhor em Casa – Serviço de Atenção Domiciliar (SAD), que desde 2011 tem expandido sua cobertura e ampliado seu escopo de atuação;.",https://atencaoprimaria.rs.gov.br/upload/arquivos/202204/13134148-nota-tecnica-conjunta-01-2022-atencao-domiciliar.pdf,Atenção Primária do RS,"['Melhor em Casa', 'Atenção Domiciliar', 'cobertura']",3,RS,neutro,RS,escala,nota tecnica aps final docx consolidacao desde expandido cobertura ampliado escopo atuacao,"nota, final, consolidacao, tecnica",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",SOS Emergências e Melhor em Casa,"... Melhor em Casa e SOS Emergências. O ministro da Saúde, Alexandre ... atenção domiciliar, prevista na portaria 2029, que institui a ...",https://www.epsjv.fiocruz.br/noticias/reportagem/sos-emergencias-e-melhor-em-casa-1,Escola Politécnica de Saúde Joaquim Venâncio | EPSJV | Fiocruz,23 de nov. de 2011,5,,neutro,NA,nenhum,sos emergencias sos emergencias ministro alexandre prevista portaria institui,"sos, emergencias, sos emergencias, portaria",
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",SES dialoga sobre atenção domiciliar na rede de atenção à ...,... Atenção Domiciliar Programa Melhor em Casa. O encontro foi marcado pelas medidas de reforço e orientação de adesão dos municípios ao ...,https://www.ma.gov.br/noticias/ses-dialoga-sobre-atencao-domiciliar-na-rede-de-atencao-a-saude-durante-encontro,www.ma.gov.br,7 de dez. de 2023,7,MA,neutro,MA,nenhum,ses dialoga rede encontro marcado medidas reforco orientacao adesao municipios,"municipios, encontro, ses, rede",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Efeito do programa Melhor em Casa sobre os gastos ...,"Os resultados apontam que o efeito do programa Melhor em Casa efetivamente reduziu os gastos com internações hospitalares em aproximadamente 4,7% em 2011, 5,8% ...",https://rsp.fsp.usp.br/pt-br/article/efeito-do-programa-melhor-em-casa-sobre-os-gastos-hospitalares/,Revista de Saúde Pública,"['resultados', 'Melhor em Casa']",1,,neutro,NA,nenhum,efeito gastos resultados apontam efeito efetivamente reduziu gastos internacoes hospitalares aproximadamente,"efeito, gastos, efeito gastos, hospitalares",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Atenção domiciliar no SUS: resultados do laboratório de ...,"em 2011, com a criação do Programa Melhor em casa, a atenção domiciliar foi insti- tuída no sus de forma sistêmica, tendo por diretrizes a integração dessa ...",https://bvsms.saude.gov.br/bvs/publicacoes/atencao_domiciliar_sus_resultados_laboratorio_inovacao.pdf,Biblioteca Virtual em Saúde MS,"['Melhor em casa', 'atenção domiciliar']",2,MS,neutro,MS,nenhum,resultados laboratorio criacao insti tuida sistemica tendo diretrizes integracao dessa,"laboratorio, resultados laboratorio, resultados",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",1 Perfil dos pacientes atendidos no programa melhor em ...,"Melhor em Casa (PMC), pela equipe do Serviço de Atenção ... Atenção domiciliar no SUS: resultados do laboratório de inovação em atenção domiciliar.",https://revistas.ufg.br/rir/article/download/59222/34017,UFG - Universidade Federal de Goiás,"['Melhor em Casa', 'Atenção', 'Atenção domiciliar', 'resultados', 'atenção domiciliar']",4,,neutro,NA,pessoal,perfil atendidos pmc equipe resultados laboratorio inovacao,"laboratorio, resultados laboratorio, pmc, perfil",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Desafios e Perspectivas na Atenção Domiciliar - Revisão ...,"Programa Melhor em Casa: Desafios e Perspectivas na Atenção Domiciliar - Revisão de Literatura. Saúde Coletiva (Barueri), 16(103), 18224 ...",https://revistasaudecoletiva.com.br/index.php/saudecoletiva/article/view/3741,Saúde Coletiva (Barueri),"['Melhor em Casa', 'Atenção Domiciliar']",5,,neutro,NA,nenhum,desafios perspectivas revisao desafios perspectivas revisao literatura coletiva barueri,"revisao, perspectivas revisao, perspectivas, desafios perspectivas",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Programa Melhor em Casa realiza mais de 13 mil ...,"Com esse modelo, o Melhor em Casa, também, contribui para a redução de riscos de infecção e facilita desospitalizações, o que ajuda na gestão ...",https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-realiza-mais-de-13-mil-atendimentos-e-amplia-cuidados-domiciliares-em-santarem-bpwyzh,Prefeitura de Santarém,17 de dez. de 2024,7,PA,neutro,PA,nenhum,realiza mil modelo contribui reducao riscos infeccao facilita desospitalizacoes ajuda gestao,"realiza mil, riscos, gestao, modelo",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Efeito do programa Melhor em Casa sobre os gastos hospitalares,"... Melhor em Casa, que leva valor igual a 1, caso o ... resultados dos exames. ... Desafios da atenção domiciliar sob a perspectiva da redução de custos/racionalização ...",https://www.scielosp.org/article/rsp/2019.v53/104/pt/,SciELO - Saúde Pública,"['Melhor em Casa', 'resultados', 'atenção domiciliar']",8,,neutro,NA,nenhum,efeito gastos hospitalares valor igual caso resultados exames desafios sob perspectiva reducao custos racionalizacao,"caso, efeito, gastos, efeito gastos",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Programa Melhor em Casa presta atendimento domiciliar ...,Programa Melhor em Casa presta atendimento domiciliar de média e alta complexidade para pacientes aldeenses ... Atenção Domiciliar (EMAD) para ...,https://pmspa.rj.gov.br/programa-melhor-em-casa-presta-atendimento-domiciliar-de-media-e-alta-completibilidade-para-pacientes-aldeenses/,Prefeitura de São Pedro da Aldeia,18 de fev. de 2021,2,PA,neutro,PA,nenhum,presta presta media alta complexidade aldeenses emad,"presta, complexidade, presta presta, presta media",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Estudo realizado com idosos atendidos pelo programa Melhor ...,"Estudo realizado com idosos atendidos pelo programa Melhor em Casa, em Palhoça (SC), analisou a relação entre o fluxo salivar e as condições bucais.",https://www.instagram.com/p/DOq0I0ejeQR/,Instagram,['Melhor em Casa'],3,SC,neutro,SC,nenhum,estudo realizado idosos atendidos estudo realizado idosos atendidos palhoca analisou relacao fluxo salivar condicoes bucais,"idosos atendidos, realizado, estudo, atendidos",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",panorama da implantação do programa melhor em casa ...,Os resultados demonstraram que o Programa Melhor em Casa faz parte da Rede de Atenção Domiciliar e possui equipes multiprofissionais que se dividem de acordo ...,https://sguweb.unicentro.br/app/webroot/arquivos/atsubmissao/TCC_final_03_03_20.pdf,Unicentro,"['resultados', 'Melhor em Casa', 'Atenção Domiciliar']",5,SE,neutro,SE,pessoal,panorama implantacao resultados demonstraram parte rede equipe multiprofissionais dividem acordo,"parte, acordo, implantacao, multiprofissionais",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Quadro pós-covid tem aumentado nos atendimentos do ...,"Em torno de 40% a 60% dos atendimentos de equipes do programa Melhor em Casa, que realizam atenção domiciliar no Sistema Único de Saúde ...",https://agenciabrasil.ebc.com.br/saude/noticia/2021-11/quadro-pos-covid-tem-aumentado-nos-atendimentos-do-melhor-em-casa,Agência Brasil,8 de nov. de 2021,6,,neutro,NA,pessoal,quadro pos covid aumentado atendimentos torno atendimentos equipe realizam,"atendimentos, pos, covid, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",O programa Melhor em Casa ultrapassa as paredes do ...,"O programa Melhor em Casa ultrapassa as paredes do hospital para levar cuidado, atenção e resultados até quem mais precisa.",https://www.instagram.com/reel/DP9958OCcDz/,Instagram · prefeituradetucano,,7,PA,positivo,PA,nenhum,ultrapassa paredes ultrapassa paredes hospital levar cuidado resultados precisa,"precisa, hospital, resultados, cuidado",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Potencializar a utilização do Programa Melhor em Casa,Resultados esperados ... Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ...,https://bvsms.saude.gov.br/bvs/saudelegis/doc_tec/mar_24/Relatorio%20AIR%20_%20PRT%20GM%203005.2024.pdf,Biblioteca Virtual em Saúde MS,"['Resultados', 'atenção domiciliar', 'Melhor em Casa']",9,MS,neutro,MS,nenhum,potencializar utilizacao resultados esperados organizacao rev gaucha,"utilizacao, rev, gaucha, organizacao rev",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados","Internamento domiciliar via SUS no Brasil, o impacto do ...",Serviço de Atenção Domiciliar (SAD) por ... Melhor em Casa: Ministério da Saúde habilita 116 novas equipes para atendimento domiciliar.,https://rsdjournal.org/rsd/article/download/29177/25294/334664,"Research, Society and Development","['Atenção Domiciliar', 'Melhor em Casa']",10,PA,neutro,PA,pessoal,internamento via impacto habilita novas equipe,"novas equipe, novas, impacto, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Perfil dos usuários do Programa Melhor em Casa em um ...,Perfil dos usuários do Programa Melhor em Casa em um município do centro-oeste do Paraná ... Atenção domiciliar: perfil assistencial de serviço ...,https://www.interacoes.ucdb.br/multitemas/article/view/3223,INTERAÇÕES – (Campo Grande),"['Melhor em Casa', 'Atenção domiciliar']",1,PA,neutro,PA,nenhum,perfil perfil centro oeste parana perfil assistencial,"perfil, parana, assistencial",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Melhor em Casa: quando o cuidado e a saúde batem à porta ...,"Melhor em Casa: quando o cuidado e a saúde batem ... Ele oferece atenção domiciliar a pacientes que necessitam de cuidados contínuos, evitando longas internações ...",https://www.facebook.com/prefeiturademontenegro/posts/melhor-em-casa-quando-o-cuidado-e-a-sa%C3%BAde-batem-%C3%A0-portauma-idosa-de-quase-80-ano/1042958581341767/,Facebook,"['Melhor em Casa', 'atenção domiciliar']",3,,positivo,NA,nenhum,quando cuidado batem porta quando cuidado batem necessitam cuidados continuos evitando longas internacoes,"quando, cuidado, continuos, necessitam cuidados",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",ATUAÇÃO DA EQUIPE ODONTOLÓGICA NO PROGRAMA ...,Os resultados foram avaliados mediante a categorização das falas dos ... Organização da atenção domiciliar com o Programa Melhor em Casa.,https://repositorio.unichristus.edu.br/jspui/handle/123456789/1910,Unichristus,"['resultados', 'atenção domiciliar', 'Melhor em Casa']",4,,neutro,NA,pessoal,atuacao equipe odontologica resultados avaliados mediante categorizacao falas organizacao,"atuacao equipe, organizacao, atuacao, resultados",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",PROGRAMA MELHOR EM CASA,"Orientações sobre a utilização de telessaúde pelas Equipes dos Serviços de Atenção Domiciliar (SAD), vinculadas ao Programa Melhor em Casa (PMeC):. EMAD ( ...",https://www.saude.sc.gov.br/index.php/pt/media-e-alta-complexidade/programa-melhor-em-casa,Portal SES/SC,"['Atenção Domiciliar', 'Melhor em Casa']",5,SC,neutro,SC,pessoal,orientacoes utilizacao telessaude equipe vinculadas pmec emad,"orientacoes, vinculadas, equipe vinculadas, utilizacao",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Vista do Programa Melhor em Casa: Desafios e Perspectivas na ...,"... Melhor em Casa: Desafios e Perspectivas na Atenção Domiciliar ... Resultados: A redução de internações, alta ... Resultados: La reducción de ...",https://revistasaudecoletiva.com.br/index.php/saudecoletiva/article/view/3741/5097,Saúde Coletiva (Barueri),"['Melhor em Casa', 'Atenção Domiciliar', 'Resultados', 'Resultados']",8,,neutro,NA,nenhum,vista desafios perspectivas desafios perspectivas resultados reducao internacoes alta resultados reduccion,"perspectivas, desafios perspectivas, desafios, resultados",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Programa Melhor em Casa recebe visita do Ministério da ...,Programa Melhor em Casa recebe visita do Ministério da Saúde para alinhar práticas e resultados ... atenção domiciliar (EMAD) e da equipe ...,https://www.saocristovao.se.gov.br/noticia/programa-melhor-em-casa-recebe-visita-do-ministerio-da-saude-para-alinhar-praticas-e-resultados,Prefeitura Municipal de São Cristóvão - SE,31 de ago. de 2023,10,PA,neutro,PA,pessoal,recebe visita recebe visita alinhar praticas resultados emad equipe,"recebe, visita, praticas, emad equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" resultados",Programa Melhor em Casa: Amazonas amplia número de ...,"O Ministério da Saúde habilitou 12 novas equipes no Amazonas, sendo nove Equipes Multiprofissionais de Atenção Domiciliar (Emads) e três Equipes ...",https://www.saude.am.gov.br/programa-melhor-em-casa-amazonas-amplia-numero-de-equipes-e-capacidade-de-atendimento-domiciliar/,SES-AM,30 de mai. de 2022,1,AM,neutro,AM,pessoal,amazonas amplia numero habilitou novas equipe amazonas nove equipe multiprofissionais emads tres equipe,"equipe, novas equipe, amplia, nove",
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Manual de Monitoramento e Avaliação: Programa Melhor em ...,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram ...",https://biblioteca.cofen.gov.br/programa-melhor-em-casa/,Biblioteca Virtual de Enfermagem - Cofen,13 de mai. de 2020,4,,positivo,NA,nenhum,manual monitoramento avaliacao lancamento qualificacao ampliacao,"qualificacao, ampliacao, lancamento qualificacao, qualificacao ampliacao",
